date,trades_count,total_volume_usd,avg_execution_price,median_size_usd,win_rate,classification,value
2024-06-03,82,327218.02,1.7171503902439025,1942.915,0.8780487804878049,Greed,73.0
2024-06-04,16,68223.67,3328.08125,2257.3,0.25,Greed,73.0
2024-06-05,9,206016.43,3109.866666666667,14386.77,0.4444444444444444,Extreme Greed,75.0
2024-06-06,234,137557.76,30.647596965811967,554.615,0.42735042735042733,Extreme Greed,78.0
2024-06-07,24,2490.17,1.10232597125,59.86,0.2916666666666667,Extreme Greed,77.0
2024-06-08,107,61478.38,1056.048024274299,123.95,0.12149532710280374,Greed,72.0
2024-06-09,42,39047.1,215.73034285714286,90.725,0.0,Extreme Greed,75.0
2024-06-10,22,300130.56,62166.40909090909,6351.0599999999995,0.22727272727272727,Greed,72.0
2024-06-11,15,123906.9,58370.23423933333,6823.5,0.4666666666666667,Greed,74.0
2024-06-12,403,3471019.22,15604.850347196028,497.04,0.23325062034739455,Greed,72.0
2024-07-01,97,1048850.06,7513.911021649485,3003.94,0.09278350515463918,Neutral,53.0
2024-07-02,15,6758.73,3.98582,337.68,0.13333333333333333,Neutral,51.0
2024-07-04,23,49988.14,3398.0043478260873,680.92,0.0,Fear,44.0
2024-07-05,18,108717.58,1715.215231,3417.135,0.5,Fear,29.0
2024-07-06,440,1098588.76,1232.3513694545454,468.885,0.4,Fear,26.0
2024-07-07,10,498.75,3.9900000000000007,39.9,1.0,Fear,29.0
2024-07-08,33,2492.77,1.594288883939394,38.98,0.30303030303030304,Fear,28.0
2024-07-10,21,219984.65,63684.42857142857,3379.1,0.0,Fear,28.0
2024-07-11,113,111335.3,1338.6989985840708,143.99,0.5309734513274337,Fear,29.0
2024-07-12,304,451733.42,1359.7200135328949,209.72500000000002,0.4309210526315789,Fear,25.0
2024-08-01,128,1522452.43,15078.63093734375,1850.245,0.25,Neutral,52.0
2024-08-02,10,26051.12,10.0228845,2084.025,0.4,Greed,57.0
2024-08-03,67,183583.18,2.9131835970149256,482.56,0.8805970149253731,Fear,37.0
